Model,Prompt,Negative,Neutral,Positive
GPT 3.5,0,27.697841726618705,35.97122302158273,36.330935251798564
GPT 4,0,12.589928057553957,74.10071942446042,13.309352517985612
Mistral,0,16.967509025270758,68.59205776173285,14.440433212996389
GPT 3.5,1,34.89208633093525,34.89208633093525,30.215827338129497
GPT 4,1,13.309352517985612,76.61870503597122,10.071942446043165
Mistral,1,16.60649819494585,68.59205776173285,14.801444043321299
GPT 3.5,3,7.553956834532374,85.25179856115108,7.1942446043165464
GPT 4,3,12.996389891696749,79.42238267148014,7.581227436823104
Mistral,3,22.382671480144403,62.454873646209386,15.162454873646208
GPT 3.5,4,8.633093525179856,80.57553956834532,10.79136690647482
GPT 4,4,9.712230215827338,79.49640287769785,10.79136690647482
Mistral,4,27.79783393501805,56.317689530685925,15.884476534296029
GPT 3.5,5,8.992805755395683,81.29496402877699,9.712230215827338
GPT 4,5,26.978417266187048,62.589928057553955,10.431654676258994
Mistral,5,29.96389891696751,53.79061371841155,16.24548736462094
GPT 3.5,6,9.352517985611511,78.77697841726618,11.870503597122301
GPT 4,6,18.345323741007196,71.58273381294964,10.071942446043165
Mistral,6,28.158844765342963,56.317689530685925,15.523465703971121
GPT 3.5,7,36.69064748201439,51.798561151079134,11.510791366906476
GPT 4,7,18.345323741007196,73.02158273381295,8.633093525179856
Mistral,7,21.660649819494584,54.151624548736464,24.187725631768952
GPT 3.5,8,5.755395683453238,78.77697841726618,15.467625899280577
GPT 4,8,6.115107913669065,79.49640287769785,14.388489208633093
Mistral,8,23.826714801444044,59.92779783393502,16.24548736462094
